id;nom;adresse;telephone;fixe;ninea;logo_url
1;composite platforms connecting;calculating Liberian Dollar;1-202-557-5768 x76175;wireless Legacy grey;Steel Shoes;Montana technologies Common
2;HDD overriding;Bedfordshire olive Plastic;082.230.9958;parsing customized;EXE interface;USB Movies SDD
3;envisioneer 1080p;Home District partnerships;1-989-394-3312;Sleek;reboot;Unbranded Granite Keyboard Facilitator
4;Bulgarian Lev;Supervisor;1-287-620-6006 x0648;Wooden;Alaska Bridge encoding;withdrawal Checking Account
5;solid state customer loyalty Assimilated;monitoring Louisiana;(674) 952-8905;SQL parse;Plastic Personal Loan Account;platforms
6;Licensed Metal Table fault-tolerant;withdrawal bandwidth;934-716-1690 x0005;unleash payment;Chair white zero administration;quantify
7;reboot systemic relationships;Automotive Movies;378-091-3948 x27313;Armenia;circuit Wooden Bedfordshire;Principal
8;fresh-thinking;application Business-focused Analyst;1-319-239-1188;Soft azure action-items;Cayman Islands Dollar Home Gloves;Specialist firewall
9;Mississippi;compressing;(206) 069-1102 x14632;mint green hacking;black orange;Granite
10;Tunnel Checking Account Program;multi-state;674-598-4188 x9573;brand Games Research;global reboot;Plain Ergonomic Rubber Hat Executive
