id;nom;adresse;tel;responsable
1;Dong;programming Throughway;Movies open-source;22137
2;Bedfordshire Street;Games;Shirt program;8872
3;Technician conglomeration Personal Loan Account;Central Computers Assurance;Innovative platforms Norwegian Krone;95262
4;Awesome;Response AI;Parkways;57236
5;Principal Credit Card Account Licensed Granite Mouse;system indexing mint green;hack Intelligent Chair;67026
6;Mississippi Zimbabwe Dollar Concrete;Drive green help-desk;navigating;31252
7;encoding;Maryland Avon Fantastic Plastic Fish;Seychelles Rupee application leverage;16269
8;XSS Metical Books;silver e-commerce Identity;Personal Loan Account Frozen;46106
9;Sudan Tala Dynamic;Awesome Steel Towels;Cote d'Ivoire Pizza;19755
10;Belarus grey magenta;generate Wyoming;supply-chains Communications Tasty Soft Ball;37285
