id;nom_entreprise;adresse;telephone;fixe;ninea;logo_url
1;Decentralized Credit Card Account;Fresh solution Marshall Islands;1-915-349-5920 x183;HTTP;Ergonomic Plastic Shirt;connecting harness
2;Toys Jewelery;integrated navigate;(069) 222-3945;Health Multi-lateral;withdrawal users Walks;Sleek Wooden Mouse deliverables
3;synergy Fresh;Idaho Dynamic granular;(191) 154-9289;customized Kip 5th generation;calculating Afghani Wooden;Coordinator dot-com Forward
4;Solutions quantifying;Engineer;232.159.9151;bluetooth;one-to-one;deposit
5;XSS;enterprise;(793) 289-1385 x977;reboot payment interfaces;Organic;Kenyan Shilling iterate architectures
6;Dynamic Investment Account;transitional Supervisor Manors;106-825-1017 x9360;XSS Street;Computers;open-source
7;Configurable connecting;multi-byte Mobility Rubber;679-405-2198 x656;withdrawal Personal Loan Account Customizable;hard drive;program deposit override
8;copying Kids mint green;Wooden;(061) 259-2041 x695;primary;pink protocol Japan;framework Savings Account
9;Engineer withdrawal encoding;Awesome Steel Salad fresh-thinking Berkshire;085-696-1553 x64561;cross-media monitor Bedfordshire;Computer;bus deposit
10;JSON;Credit Card Account Sports hack;622-381-6333;Product Solutions;Investor;Technician reinvent Handcrafted Soft Tuna
