id;nom;numero_compte;code_banque;code_guichet;cle_rib
1;application;Burkina Faso concept;Analyst;platforms structure Usability;transitional Tonga system
2;Latvia alarm;Chips multi-byte;Buckinghamshire Skyway;Specialist hacking;Prairie Rubber purple
3;deposit Philippine Peso navigate;Concrete Cross-platform SDD;optical Brand Nuevo Sol;Checking Account infrastructures;Group Savings Account Awesome Rubber Keyboard
4;Fish Principal Gambia;Metrics;revolutionary redundant Group;vortals;Turkish Lira backing up Gorgeous Rubber Bacon
5;Kenyan Shilling Incredible generate;index;sky blue Wisconsin Licensed Frozen Gloves;Kids input;mobile cross-platform index
6;hacking Cambridgeshire California;system;Checking Account Executive Bolivia;indigo Cotton card;wireless Wooden
7;Club Bike;Bahraini Dinar Toys;supply-chains monetize sexy;Administrator;application Frozen viral
8;data-warehouse Data;quantify iterate Unbranded;orchid;Moroccan Dirham;pixel foreground
9;experiences Soft navigating;hack Armenian Dram fuchsia;white;optimize transitional Berkshire;Steel Chair
10;Soft Lead;Configuration engage hack;Handcrafted compressing Gorgeous;JBOD;Home Loan Account aggregate support
